,Datetime,Text,Username,Geolocation
0,2020-06-05 20:44:06+00:00,"If Virginia can remove a statue of Robert E Lee, it’s time for Bristol to remove Colston. Thousands call for removal of 'disgraceful' Bristol statue ",kevinjamesriley,
1,2020-06-05 19:18:44+00:00,"It’s past time for the statue of Colston to come down in #bristol. We can’t change history but we can end the disrespect and inhumanity towards black people that he represents. Because #blacklivesmatter always have, always will.",EleanorWi,
2,2020-06-05 17:23:01+00:00,"As a former Bristolian, an interesting story to write - Campaign launched to remove 'toxic' Bristol statue of slave trader Edward Colston ",richmpjourno,
3,2020-06-05 15:29:52+00:00,"As a bristolian, I would like the statue to Colston to remain, but I think it should include exactly why he was such a benefactor to the city on it with a plaque showing how he made his money. Also perhaps a statue to commemorate the people who were trafficked at his behest?",Knightcider,
4,2020-06-05 14:22:56+00:00,"This is heartening to read, do you also support removing the statue of the slave trader Edward Colston from Bristol City Centre?",OmegaJak,
5,2020-06-05 11:20:32+00:00,"The whole Bristols Colston statue debate can be sorted by placing a state of a slave opposite. Rather than deny it, make a focal point of both sides the entire story. Rewriting or denying the history using modern perspectives won’t quieten the noise.",therainking_,
6,2020-06-05 09:01:41+00:00,Don't need luck. We're winning. Venturers no longer able to hold their Colston Thanksgiving service; Colston Hall going and now we have your statue in our sights. Good luck with your slave trader preservation project. You'll need it.,bristol_citizen,
7,2020-06-05 08:40:57+00:00,"Again, your virtue seeking personality is pushing your ideals onto me. I don't need that, & in the same way I don't have a need to be concerned about a statue of Churchill or indeed Edward Colston. For me they represent their legacy which should be remembered, not erased.",tutwatter,
8,2020-06-05 08:08:57+00:00,"A nice show by the council, but why not take down the statue of the prolific slave trader that's 500 meters from City Hall? It makes me sick everytime I walk past Edward Colston looking down on me. #BlackLivesMatter",KathrynBristow,
9,2020-06-05 07:11:59+00:00,Knowing my city was built on the slave trade and one of the biggest schools in the city is named after a slave trader and we have a massive statue of him in the middle of Town. Istg I can't wait to get out. The council refuses to remove the statue. LIKE STOP GLORIFYING COLSTON.,H4VENMIN,
10,2020-06-04 23:33:15+00:00,"it would be a shame if ppl in bristol trashed everything with the name ""colston"", which just so happens to be the name of a slave trader from bristol who also has a statue and is justified by the money he made from SLAVE TRADING contributing to bristol's development ",arashiagenda,
11,2020-06-04 21:10:18+00:00,"One example I can think of - having spent 3 years living in Bristol, absolutely astounded that it still stands, is the statue of Slaver Edward Colston, who was directly responsible and profited handsomely from the transatlantic slave trade",camscheijde,
12,2020-06-04 19:00:47+00:00,"Edward Colston was a slave trader who was responsible for an estimated 84,000 Western Africans being taken to the New World. His statue is still up in Bristol City Centre, with no context of how he amassed his wealth. Sign for it to be taken down ",DanDukes1,
13,2020-06-04 16:13:50+00:00,Does this mean @BristolCouncil plan to rename the many places glorifying a historic slave trader? Will the statue of Edward Colston referring to him as a wise and virtuous man be removed?,M24Mrs,
14,2020-06-04 13:19:43+00:00,Great to see! When will you be dismantling the Edward Colston statue and piling on the pressure for @Colston_Hall and @colstonsschool to change their names?,MrMacgregor90,
15,2020-06-04 13:07:46+00:00,Getting close to Colston's statue.,mikepreece3,
16,2020-06-04 12:59:55+00:00,I wonder if @BristolCouncil are having a think about the Colston statue now...,waspins,
17,2020-06-04 09:38:06+00:00,Bristol City Council: Remove the Edward Colston statue in Bristol City Centre - Sign the Petition! http://chng.it/bXKQSgcD via @UKChange,b_littlebeasts,
18,2020-06-04 01:00:52+00:00,not saying it wouldn’t be an awful shame if anyone fancied doing this to the statue of Colston in Bristol tomorrow ,ktieclarke,
19,2020-06-03 22:02:55+00:00,"The way to remember him is to move his statue to Bristol Water's Avonmouth facility and rename it the ""Edward Colston Sewage Works"".",aiyeethesquid,
20,2020-06-03 20:31:41+00:00,That’s exactly what the statue does. There was a huge PR campaign around Colston to try to memorialise him as a philanthropist rather than a slaver.,dvprryDesign,
21,2020-06-03 17:13:49+00:00,Isn't it time to take down that Edward Colston statue now ?,ECremaine,
22,2020-06-03 16:42:01+00:00,Gonna pull up on the Colston statue ,tortoisestyles,
23,2020-06-03 15:40:20+00:00,"Ah we are all doing our best at the mo. I hear you on feelings running high. You actually inspired me to look for a takedown Colston statue petition, found one from a few years ago with 30 votes and have been reposting it and it is up to 3200 in two days. So your twitter presence",RosaEaton,
24,2020-06-03 12:54:41+00:00,What about moving the statue of abolitionist MP Samuel Morley from his obscure spot down the road to next to Colston?,allseeingiyers,
25,2020-06-03 09:30:17+00:00,Being in one of the most historically racist cities in the uk (Bristol with Edward Colston’s name and statue everywhere which NEEDS to be changed and statue took down) we learned quite a bit during black history month but I agree that more should have been taught ,MikaylaMate,
26,2020-06-03 08:44:34+00:00,Bristol is a city that was built on the persecution of black people. Streets and buildings named after plantation owners and slave traders. Would it be a good time to ceremonially take down that statue of Edward Colston @MarvinJRees @BristolCouncil ???,LexieJ,
27,2020-06-03 08:39:31+00:00,@BristolCouncil Remove Edward Colston’s statue removed from the city centre.,toby_jmitchell,
28,2020-06-03 08:13:24+00:00,I completely agree. Passed Edward Colston statue on Sunday. Someone had put a blindfold over his eyes. Prompted a debate &amp; history lesson about Bristol's slave trading past &amp; agreement we need a monument to it's victims. Keep the statues &amp; learn from them.,HartyMaxine,
29,2020-06-02 18:52:27+00:00,“UK isn’t racist” But Edward Colston was an English Bristol born slave trader who gained most of his wealth from the exploitation of slaves at the harbour. His statue is celebrated in the centre and Bristol is honouring and memorialising a person who made a fortune from slavery.,Priyaajayk,
30,2020-06-02 17:42:05+00:00,"It DOES reflect the spirit of this city - Edward Colston, A slave trader, is commemorated in several landmarks, streets and three schools &amp; you’ve ignored every request made by the black community to remove his statue &amp; change the names.",Ruqzzz,
31,2020-06-02 17:27:34+00:00,"Bristol friends RT @tkingdot: One of the main defences of the continuation of Colston’s legacy via his name on buildings, the statue etc is that he did such a lot for charity. Which is also known as the Jimmy Savile Defence.",sundogme,
32,2020-06-02 17:23:57+00:00,"One of the main defences of the continuation of Colston’s legacy via his name on buildings, the statue etc is that he did such a lot for charity. Which is also known as the Jimmy Savile Defence.",tkingdot,
