Datetime,ID,Link,Text,Username,Retweets,Hashtags,Geolocation
2020-06-20 23:45:03+00:00,1274488463551860736,https://twitter.com/charlie_deacon/status/1274488463551860736,"@jnpaquet @SkyNews most of these ""pundits"" are clueless. They had a few on last week who hadn't heard of Colston before the statue. If they'd paid attention they would have known it had been an issue in Bristol a lot longer with Colston Hall etc. Maybe I should go on there",charlie_deacon,0,,
2020-06-20 23:32:19+00:00,1274485258642165760,https://twitter.com/JMagosh/status/1274485258642165760,"...which could trip Starmer over if he doesn't strike the right balance though. On Colston, only 13% supported what the protesters did (despite a clear majority saying the statue shouldn't be there), so as far as public opinion is concerned, Starmer called that correctly. 2/",JMagosh,0,,
2020-06-20 23:30:07+00:00,1274484707623927810,https://twitter.com/___WWG1WGA___/status/1274484707623927810,"Who was slave trader Edward Colston and why was his statue toppled? https://decisiveliberty.news/DLEM-Videos/who-was-slave-trader-edward-colston-and-why-was-his-statue-toppled/ Published: June 10th, https://bit.ly/3elduBv #newsmedia #trtworld",___WWG1WGA___,0,,
2020-06-20 23:05:17+00:00,1274478456726794242,https://twitter.com/mrkenzojames/status/1274478456726794242,"They can’t restore the 18,000 black people killed by Colston and drowned in the very same river, they should not be resorting him #BLACK_LIVES_MATTER #colstonhasfallen #colstonstatue ",mrkenzojames,1,,
2020-06-20 23:01:42+00:00,1274477557287735301,https://twitter.com/EveryVoiceNC/status/1274477557287735301,Other questions: What would the cause of action be to challenge the removal of the statues? Who would have standing to bring such action? What would the remedy be? Specific performance??!? Is there any precedent for a court ordering a statue to be installed?,EveryVoiceNC,0,,
2020-06-20 23:00:45+00:00,1274477316815622145,https://twitter.com/SmithsonianMag/status/1274477316815622145,Protesters pushed a statue of 17th-century slave trader Edward Colston into Bristol's harbor. ,SmithsonianMag,6,,
2020-06-20 22:28:22+00:00,1274469167505313795,https://twitter.com/horne_peter/status/1274469167505313795,"Because so many people used to worship at Colston’s statue? You’re funny, anyway it won’t be long before the book burnings start so have your fun while it lasts before it all goes wrong and you have to get a job ",horne_peter,0,,
2020-06-20 22:13:24+00:00,1274465401863376897,https://twitter.com/Rickwoohan/status/1274465401863376897,"They also said that because there were whites filmed pulling down Colston's statue, it wasn't anything to do with BLM",Rickwoohan,0,,
2020-06-20 21:56:22+00:00,1274461113174892545,https://twitter.com/Jeeveso2/status/1274461113174892545,"Since when was the statue of Colston ""sacred""? Most people never even knew it existed until they decided they didn't want black people getting their way. I love the Cenotaph but it was painted. Not great but it was hardly ""destroyed"".",Jeeveso2,0,,
2020-06-20 21:52:19+00:00,1274460093736681472,https://twitter.com/ianbetteridge/status/1274460093736681472,Most people... except the kind of people who think you should immediately put Colston’s statue back on the same plinth in Bristol ;),ianbetteridge,0,,
